Original,id_Developer
Void Productions,971
SME Dynamic Systems Limited,972
Planet Moon Studios,973
Game Brains,974
Idol Minds,975
Overworks,976
"Mercury Steam, Alchemic Productions",977
EA Seattle,978
Coyote Developments,979
Wargaming.net,980
Tripwire Interactive,981
Hudson Entertainment,982
PuzzleKings,983
Oddworld Inhabitants,984
Klein Computer Entertainment,985
ChaYoWo Games,986
Polygon Magic,987
EA Japan Studio,988
"Mediascape, CUBETYPE",989
"Jupiter Corporation, Jupiter Multimedia",990
Zener Works,991
Red 5 Software,992
Shade,993
OfficeCreate,994
"Seamless Entertainment, Inc.",995
"Rocksteady Studios, Virtuos",996
Radius9,997
CiRCLE,998
"Treyarch, Sledgehammer Games",999
"SCE/WWS, SCE Japan Studio",1000
Indi,1001
Flying Lab Software,1002
Inevitable Entertainment,1003
SScholastic Media,1004
Wide Games,1005
SuperBot Entertainment,1006
Flagship Studios,1007
"THQ, Independent Arts",1008
Awesome Play Ltd.,1009
"Nintendo, Namco Bandai Games",1010
Smack Down Productions,1011
Frame Studios Interactive,1012
Phenomedia,1013
Hangar 13,1014
8ing/Raizing,1015
Mastertronic,1016
"Cyanide, Cyanide Studios",1017
Acclaim Studios Cheltenham,1018
Prokion,1019
Buzz Monkey,1020
"Treyarch, Shaba Games",1021
Climax Studios,1022
UGA,1023
Ninja Theory,1024
Midway Studios - Austin,1025
777 Studios,1026
Hokus Pokus,1027
Disney Interactive,1028
Classic Media Distribution Limited,1029
Ubisoft Casablanca,1030
Ubisoft Annecy,1031
"RED Entertainment, Compile Heart",1032
Brainbox Games,1033
Midas Interactive Entertainment,1034
Black Hole Games,1035
"Tecmo, Ntreev Soft",1036
Vivarium,1037
2XL Games,1038
Blue Tongue,1039
Animation Arts,1040
Global Star Software,1041
Million,1042
"Microids, Dreamcatcher",1043
"Farsight Studios, Crave",1044
Hitmaker,1045
Plato,1046
"EA Redwood Shores, EA Salt Lake",1047
Pocket Studios,1048
NuFX,1049
"Rovio Mobile, Rovio Entertainment",1050
Twelve Games,1051
Lead Pursuit,1052
Bluepoint Games,1053
Metro,1054
Re-Logic,1055
Atomic Motion,1056
Cyan Worlds,1057
Liquid Dragon Studios,1058
Zoo Digital Publishing,1059
Hit Maker,1060
Jet Black Games,1061
"Spark Unlimited, comcept",1062
"Atomic Planet Entertainment, Mud Duck Productions",1063
Spellbound,1064
"Square Enix, Tri-Ace",1065
Digital Anvil,1066
"Frozenbyte, Inc.",1067
Transmission Games,1068
DiP Interactive,1069
Rage Software,1070
"Aspect, Takara Tomy",1071
Game Sauce,1072
"City Interactive, Deck 13",1073
Ornith,1074
Moss,1075
Ubisoft Barcelona,1076
"Nintendo, Spike Chunsoft",1077
THQ Australia,1078
"Ubisoft Reflections, Ivory Tower",1079
Nfusion,1080
Nadeo,1081
Best Way,1082
"Gearbox Software, WayForward",1083
Gammick Entertainment,1084
Goshow,1085
Massive Entertainment,1086
Double Fine Productions,1087
WXP,1088
Sanuk Games,1089
Deck 13,1090
Smilebit,1091
Media Molecule,1092
BattleGoat Studios,1093
SouthPeak Games,1094
Aqua Pacific,1095
Mercury Steam,1096
Still Alive Studios,1097
Crea-Tech,1098
Guerilla Cambridge,1099
Pinegrow,1100
Gogii Games,1101
Cave Barn,1102
Starsphere Interactive,1103
SkyRiver Studios,1104
Magnin & Associates,1105
Zeroscale,1106
"Milestone, Milestone S.r.l",1107
Cyberlore Studios,1108
