Genre,Publisher,NA_Sales,EU_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
12.0,62.0,0.2,0.07,0.01,0.28,58.0,10.0,-1.0,-1.0,0
7.0,45.0,0.06,0.09,0.02,0.17,72.0,54.0,7.0,60.0,0
2.0,19.0,0.0,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,-1
4.0,8.0,0.27,0.18,0.03,0.48,-1.0,-1.0,-1.0,-1.0,-1
9.0,26.0,0.0,0.0,0.0,0.03,-1.0,-1.0,-1.0,-1.0,-1
2.0,20.0,0.0,0.06,0.01,0.06,-1.0,-1.0,-1.0,-1.0,3
10.0,8.0,0.95,0.01,0.08,1.05,75.0,22.0,6.9,36.0,1
9.0,65.0,0.0,0.0,0.0,0.17,-1.0,-1.0,-1.0,-1.0,-1
8.0,8.0,0.35,0.13,0.01,0.48,-1.0,-1.0,-1.0,-1.0,0
5.0,66.0,0.0,0.0,0.0,0.15,-1.0,-1.0,-1.0,-1.0,-1
8.0,1.0,0.22,0.17,0.06,0.45,-1.0,-1.0,-1.0,-1.0,-1
9.0,15.0,0.13,0.07,0.02,0.21,69.0,53.0,7.4,50.0,1
10.0,67.0,0.03,0.01,0.0,0.04,65.0,9.0,-1.0,-1.0,0
8.0,1.0,0.21,0.04,0.02,0.26,49.0,6.0,-1.0,-1.0,3
12.0,1.0,0.21,0.01,0.02,0.24,56.0,4.0,-1.0,-1.0,0
10.0,15.0,2.78,0.58,0.04,4.03,-1.0,-1.0,-1.0,-1.0,-1
2.0,29.0,0.53,0.24,0.16,0.98,-1.0,-1.0,-1.0,-1.0,-1
3.0,5.0,0.09,0.07,0.02,0.19,66.0,17.0,8.4,30.0,1
11.0,20.0,0.04,0.0,0.0,0.04,-1.0,-1.0,-1.0,-1.0,1
11.0,5.0,0.49,0.0,0.03,0.52,-1.0,-1.0,-1.0,-1.0,-1
11.0,15.0,0.25,0.0,0.02,0.26,87.0,4.0,5.6,9.0,0
10.0,1.0,0.04,0.03,0.0,0.07,-1.0,-1.0,-1.0,-1.0,-1
5.0,9.0,0.0,0.0,0.0,0.08,-1.0,-1.0,-1.0,-1.0,-1
10.0,19.0,0.42,0.21,0.07,0.77,69.0,42.0,7.5,31.0,1
3.0,3.0,0.0,0.0,0.0,0.03,-1.0,-1.0,-1.0,-1.0,-1
1.0,1.0,0.1,0.07,0.01,0.18,-1.0,-1.0,-1.0,-1.0,-1
10.0,25.0,0.52,0.25,0.07,0.83,49.0,76.0,4.4,456.0,2
5.0,44.0,0.0,0.0,0.0,0.03,-1.0,-1.0,-1.0,-1.0,-1
5.0,26.0,0.0,0.0,0.0,0.08,-1.0,-1.0,-1.0,-1.0,-1
8.0,5.0,0.06,0.0,0.01,0.06,-1.0,-1.0,-1.0,-1.0,-1
3.0,3.0,0.0,0.0,0.0,0.18,-1.0,-1.0,-1.0,-1.0,-1
8.0,38.0,0.61,0.11,0.06,0.78,68.0,10.0,7.8,32.0,3
8.0,9.0,0.05,0.04,0.01,0.1,51.0,45.0,6.2,24.0,2
7.0,40.0,0.28,0.15,0.05,0.48,-1.0,-1.0,-1.0,-1.0,-1
5.0,29.0,0.07,0.08,0.02,0.17,-1.0,-1.0,-1.0,-1.0,-1
